Year,Jurisdiction,Flag,Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,"",520.4,5.355,100.0,
2009,National,"",505.25,5.019,100.0,
2000,National,"",532.49,6.479,100.0,
1990,National,"",485.07,7.582,100.0,
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
