Year,Jurisdiction,Flag,Average,Standard Error (Average),Percentage,Standard Error (Percentage)
2019,National,"",20.58,0.294,100.0,
2009,National,"",21.35,0.169,100.0,
2000,National,"",21.66,0.209,100.0,
1990,National,"",19.91,0.225,100.0,
2019,National,Missing,,,,
2009,National,Missing,,,,
2000,National,Missing,,,,
1990,National,Missing,,,,
