Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,294,13,▲,78,47
DoDEA,292,11,▲,83,41
New Jersey,292,11,▲,76,44
Minnesota,291,10,▲,77,44
Wisconsin,289,8,▲,76,41
New Hampshire,287,6,▲,77,38
South Dakota,287,6,▲,76,39
Virginia,287,6,▲,75,38
Vermont,287,6,▲,75,38
Wyoming,286,5,▲,76,37
Connecticut,286,5,▲,72,39
Idaho,286,5,▲,74,37
Washington,286,5,▲,72,40
Ohio,286,5,▲,73,38
Indiana,286,5,▲,73,37
North Dakota,286,5,▲,75,37
Pennsylvania,285,4,▲,70,39
Nebraska,285,4,▲,74,37
Utah,285,4,▲,72,37
Colorado,285,4,▲,73,37
Montana,284,3,▲,73,36
North Carolina,284,3,▲,71,37
Illinois,283,2,♦,69,34
Maine,282,1,♦,71,34
Kansas,282,1,♦,71,33
Iowa,282,1,♦,72,33
National public,281,†,,68,33
Missouri,281,#,♦,70,32
New York,280,-1,♦,66,34
Michigan,280,-1,♦,68,31
Maryland,280,-1,♦,65,33
Tennessee,280,-1,♦,68,31
Arizona,280,-1,♦,68,31
Texas,280,-1,♦,68,30
Oregon,280,-1,♦,67,31
Georgia,279,-1,♦,67,31
Florida,279,-2,♦,66,31
Kentucky,278,-3,▼,67,29
Delaware,277,-4,▼,65,29
Oklahoma,276,-5,▼,66,26
South Carolina,276,-5,▼,64,29
Rhode Island,276,-5,▼,64,29
California,276,-5,▼,61,29
Hawaii,275,-6,▼,65,28
Arkansas,274,-7,▼,63,27
Alaska,274,-7,▼,63,29
Nevada,274,-7,▼,62,26
Mississippi,274,-7,▼,62,24
West Virginia,272,-9,▼,62,24
Louisiana,272,-9,▼,61,23
District of Columbia,269,-12,▼,55,23
New Mexico,269,-12,▼,56,21
Alabama,269,-12,▼,57,21
Puerto Rico,222,-59,▼,9,1
