ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2020-21,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2019-20,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2018-19,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2017-18,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2016-17,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2015-16,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2014-15,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2006-07,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2005-06,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2004-05,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2003-04,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2002-03,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2001-02,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 2000-01,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1999-00,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1998-99,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1997-98,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1996-97,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1995-96,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1994-95,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1993-94,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1992-93,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1991-92,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1990-91,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1989-90,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1988-89,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1987-88,Total Current Expenditures for Public El-Sec (TE5) [State Finance] 1986-87
GEORGIA,20946668545,20680204006,19798793435,19030988410,18126271799,17283294520,16530505811,15921672893,15536733145,15623632533,15527906770,15730409051,15976944539,16030039288,14828714988,13739263048,12528855797,11788615726,11630576465,10853495971,10011343140,9158624163,8537176526,7770241378,7230404943,6629646331,6136688736,5643842965,5273143304,4856582632,4804225144,4505961584,4006069390,3549038358,3254786146
HAWAII,2920091881,2999577639,2924319752,2756316831,2600073503,2502117041,2344496174,2316588308,2169636174,2187479674,2141560557,2110863510,2225438009,2122779119,2045198127,1805521020,1648086124,1566791560,1489091523,1348380814,1215968036,1213695309,1143712734,1112350984,1057069338,1040681725,1028729275,998143286,946073659,884590597,827579427,700012401,643319399,608264473,576748511
IDAHO,2784792769,2593493987,2497424261,2363037036,2245167361,2097992123,2006790760,1949962811,1925675926,1854555983,1881746483,1961856965,1957740300,1891504817,1777491117,1694827461,1618215311,1555006293,1511862048,1481803437,1403190382,1302816686,1239755216,1153777718,1090596640,1019593511,951350251,859088270,804230594,760440003,708044693,627793673,570013015,532274257,513010563
ILLINOIS,34857171040,33895711244,32207914703,31848886069,31449028169,29253457277,28545089410,27289962552,25783910875,25012914804,24554467102,24695772615,23495270931,21874484088,20326590816,19244907606,18658427604,18081826632,17271301336,16480787418,15634490018,14462773087,13602965469,12473064434,11720248787,10727090816,10640278905,10076888975,9942737288,9244654723,8932538280,8125492693,7655153479,6923298329,6463563537
INDIANA,11798847509,11352771964,10823182605,10576789092,10309826539,10144064205,9970349539,9841337295,9811165842,9978491077,9687948986,9921243142,9680895068,9281708550,9497077437,9241985969,9108930878,8524979589,8088684361,7704546612,7548487139,7110930377,6697468205,6234562826,6055054984,5493652944,5243760644,5064684635,4797945645,4544828865,4379142270,4074577687,3779467828,3330524518,3106615866
IOWA,6441809234,6200533374,6143589210,6000945020,5840808165,5663444302,5526876501,5354842803,5143771432,4971943893,4855870838,4794308007,4731463412,4499236132,4231932496,4039389086,3808199600,3669797226,3652022139,3565796435,3430885044,3264336051,3110584875,3005421266,2885942990,2753424563,2622509997,2527434301,2459141051,2356195626,2136561445,2004742333,1925622675,1859173155,1708440349
KANSAS,6160469240,5955856554,5638278323,5515083424,5154893583,5065968203,5136531790,5083374476,4895863088,4871380664,4741372280,4731675853,4806603372,4633517321,4339477193,4039416962,3718152856,3658420896,3510675065,3450922844,3264697875,2971813649,2841146825,2684244170,2568525120,2488076592,2406580118,2325247141,2224079580,2028440212,1938011552,1848302044,1712260114,1568040783,1486814170
KENTUCKY,7916274638,7868144995,7646149570,7546109212,6897154593,6750052197,6583286888,6375119452,6354306136,6360798550,6211453424,6091814487,5886890257,5822550446,5424620880,5213619782,4812591243,4553382210,4401626780,4268607597,4047392278,3837794158,3696330670,3489204912,3382061536,3171494773,2988891883,2952119071,2823133539,2709622739,2480363403,2134010729,1918741200,1741798765,1583158075
LOUISIANA,9137828788,8531691933,8484793891,8321373026,8150463136,8027058076,7960447956,7721469230,7492133677,7544781722,7522098375,7393451774,7276651244,6814454623,6040368476,5554277887,5554766258,5290964170,5056583333,4802565149,4485878166,4391188730,4264981126,4029139376,3747507815,3545831896,3475926369,3309017527,3199918898,3188024384,3023690390,2838283198,2468307216,2289241309,2260392895
MAINE,3170667177,2896754337,2830663159,2719620655,2641419967,2579299339,2538312968,2441063606,2350468900,2330842204,2377878039,2356312150,2350447327,2308070836,2258764007,2119408078,2056266091,1969496671,1909268142,1812797738,1704421936,1604437502,1510023694,1433174636,1372570555,1313758820,1281706161,1208411060,1217418238,1121359980,1070964693,1048194551,921931008,839859780,760445609
